name, img, birth, death, length 
Peter N. Peregrine, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Peter_Neal_Peregrine.jpg/220px-Peter_Neal_Peregrine.jpg, 1963-11-29, , 7358
William W. Fitzhugh, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Bill_photo_WR-headshot%282%29.jpg/220px-Bill_photo_WR-headshot%282%29.jpg, 1943-02-01, , 10662
John Evans (archaeologist), http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Sir_John_Evans.jpg/230px-Sir_John_Evans.jpg, , 1908-06-01, 7120
Dorothy Garrod, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Dorothy_Garrod.jpg/200px-Dorothy_Garrod.jpg, 1892-05-05, 1968-12-18, 8659
Aziz Ab'Sáber, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/AZIZ-AB-SABER.jpg/220px-AZIZ-AB-SABER.jpg, 1924-10-24, 2012-03-16, 4111
Eric H. Cline, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Eric_cline_3119.JPG/220px-Eric_cline_3119.JPG, 1960-09-01, , 9208
James M. Adovasio, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Adovasio2.JPG/220px-Adovasio2.JPG, , , 17086
John Wesley Gilbert, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/John_Wesley_Gilbert.jpg/220px-John_Wesley_Gilbert.jpg, , , 3968
Osman Hamdi Bey, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Osman_Hamdi_Bey.jpg/220px-Osman_Hamdi_Bey.jpg, , 1910-02-24, 12338
Donald Johanson, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Donald_Johanson_%281%29.jpg/220px-Donald_Johanson_%281%29.jpg, 1943-06-28, , 6009
Nikolai Grube, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Nikolaigrube.jpg/220px-Nikolaigrube.jpg, , , 4987
Flinders Petrie, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flinders_Petrie.jpg/220px-Flinders_Petrie.jpg, 1853-06-03, 1942-07-28, 24442
Gabriel Barkay, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Gabriel_Barkay_at_Ketef_Hinnom.jpg/200px-Gabriel_Barkay_at_Ketef_Hinnom.jpg, , , 3466
James Bennett Griffin, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/James_Bennett_Griffin.jpg/220px-James_Bennett_Griffin.jpg, 1905-01-12, 1997-05-17, 11556
Christopher Hawkes, http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Christopher_Hawkes.jpg/200px-Christopher_Hawkes.jpg, 1905-06-05, 1992-03-29, 4192
Prishantha Gunawardena, http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/23px-Flag_of_Sri_Lanka.svg.png, , , 3557
Emil Haury, http://upload.wikimedia.org/wikipedia/en/thumb/1/16/Ehaury.JPG/220px-Ehaury.JPG, , , 13056
Christian Gottlob Heyne, http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Christian_Gottlob_Heyne_Tischbein_1772.jpg/220px-Christian_Gottlob_Heyne_Tischbein_1772.jpg, , 1812-07-15, 6422
Austen Henry Layard, http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/AustenHenryLayard.jpg/200px-AustenHenryLayard.jpg, 1817-03-05, 1894-07-06, 14329
Kathleen Kenyon, http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/WithKathleen_Kenyon.jpg/220px-WithKathleen_Kenyon.jpg, 1906-01-05, 1978-08-24, 15359
Edgar Lee Hewett, http://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Edgar_lee_hewett1.jpg/225px-Edgar_lee_hewett1.jpg, , , 27049
Roger Cribb, http://upload.wikimedia.org/wikipedia/en/thumb/8/81/RCribb_Photo01.jpg/170px-RCribb_Photo01.jpg, 1948-01-06, 2007-08-24, 16398
Brian Dobson (archaeologist), http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Dr.BrianDobson_FSA.jpg/220px-Dr.BrianDobson_FSA.jpg, 1931-09-13, 2012-07-19, 3977
Chen Mengjia, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Chen_Mengjia.jpg/220px-Chen_Mengjia.jpg, , , 5709
Muazzez İlmiye Çığ, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Muazzez_%C4%B0lmiye_%C3%87%C4%B1%C4%9F.jpg/220px-Muazzez_%C4%B0lmiye_%C3%87%C4%B1%C4%9F.jpg, 1914-06-20, , 6238
Robert Koldewey, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Robert_Koldewey_1.jpg/150px-Robert_Koldewey_1.jpg, , 1925-02-05, 5655
Phil Harding (archaeologist), http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Phil_Harding_Sifting_for_flint_near_A46.jpg/220px-Phil_Harding_Sifting_for_flint_near_A46.jpg, 1950-01-25, , 4697
Mary Leakey, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Mary_Leakey.jpg/220px-Mary_Leakey.jpg, 1913-02-06, 1996-12-09, 13955
André Leroi-Gourhan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Andr%C3%A9_Leroi-Gourhan.png/220px-Andr%C3%A9_Leroi-Gourhan.png, 1911-08-25, 1986-02-19, 7747
Eilat Mazar, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Eilat_Mazar_%28cropped%29.jpg/200px-Eilat_Mazar_%28cropped%29.jpg, 1956-09-10, , 9247
Therkel Mathiassen, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Therkel_Mathiassen_ca_1921.jpg/180px-Therkel_Mathiassen_ca_1921.jpg, , , 5952
Clive Cussler, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/11.5.11CliveCusslerByLuke_Graziani.jpg/220px-11.5.11CliveCusslerByLuke_Graziani.jpg, 1931-07-15, , 19699
Taha Baqir, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/%D8%B7%D9%87_%D8%A8%D8%A7%D9%82%D8%B1.jpg/220px-%D8%B7%D9%87_%D8%A8%D8%A7%D9%82%D8%B1.jpg, , , 3455
Ranuccio Bianchi Bandinelli, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ranuccio_Bianchi_Bandinelli.jpg/220px-Ranuccio_Bianchi_Bandinelli.jpg, , , 6642
James Henry Breasted, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/James_Breasted_2.JPG/150px-James_Breasted_2.JPG, , 1935-12-02, 18864
Linda Braidwood, http://upload.wikimedia.org/wikipedia/en/8/8e/Linda_Braidwood.jpg, 1909-10-09, 2003-01-15, 4565
Jacques Boucher de Crèvecœur de Perthes, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Boucher_de_Perthes.jpg/250px-Boucher_de_Perthes.jpg, 1788-09-10, 1868-08-05, 7300
Guo Moruo, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Guomoruo.JPG/220px-Guomoruo.JPG, 1892-11-16, 1978-06-12, 25870
Hiram Bingham III, http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Hiram_Bingham_III_in_1916.jpg/220px-Hiram_Bingham_III_in_1916.jpg, 1875-11-19, 1956-06-06, 15879
Thomas Bateman, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Thomas_Bateman_%281821%E2%80%931861%29%2C_and_His_Son%2C_by_Thomas_Joseph_Banks%2C_sheffield_museums%2C_uk.jpg/220px-Thomas_Bateman_%281821%E2%80%931861%29%2C_and_His_Son%2C_by_Thomas_Joseph_Banks%2C_sheffield_museums%2C_uk.jpg, 1821-11-08, 1861-08-28, 4316
Gustaf Kossinna, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Gustaf_Kossinna_by_Bruno-Dietrich_Sassnick.jpg/200px-Gustaf_Kossinna_by_Bruno-Dietrich_Sassnick.jpg, , 1931-12-21, 8161
Colin Renfrew, http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 1937-07-25, , 8415
Llewellynn Jewitt, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Llewellyn_Jewitt.jpg/220px-Llewellyn_Jewitt.jpg, , 1886-06-06, 6099
Youssef Hourany, http://upload.wikimedia.org/wikipedia/en/thumb/8/83/YoussefHourani.jpg/220px-YoussefHourani.jpg, , , 4200
Alfred V. Kidder, http://upload.wikimedia.org/wikipedia/commons/7/7c/AV_Kidder.jpg, , 1963-06-12, 11278
Ma Chengyuan, http://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Ma_Chengyuan.jpg/220px-Ma_Chengyuan.jpg, , 2004-09-25, 10128
John Garstang, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/John_Garstang_Jul_1956.jpg/150px-John_Garstang_Jul_1956.jpg, 1876-05-05, 1956-09-12, 9889
Arthur Evans, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Sir_Arthur_John_Evans.jpg/250px-Sir_Arthur_John_Evans.jpg, 1851-07-08, 1941-07-11, 54696
Flinders Petrie, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flinders_Petrie.jpg/220px-Flinders_Petrie.jpg, 1853-06-03, 1942-07-28, 24442
Gustaf VI Adolf of Sweden, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Gustaf_VI_Adolf_of_Sweden_1962.jpg/220px-Gustaf_VI_Adolf_of_Sweden_1962.jpg, 1882-11-11, 1973-09-15, 24544
Gaston Maspero, http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Gaston_Maspero.jpg/220px-Gaston_Maspero.jpg, 1846-06-23, 1916-06-30, 10415
John Lubbock, 1st Baron Avebury, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/John_Lubbock72.jpg/230px-John_Lubbock72.jpg, 1834-04-30, 1913-05-29, 21748
Margaret Murray, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Margaret_Murray_1928c.jpg/220px-Margaret_Murray_1928c.jpg, , 1963-11-13, 86834
Sylvanus Morley, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Sylvanus_Morley_copan.jpg/220px-Sylvanus_Morley_copan.jpg, , 1948-09-02, 54303
Jean-François Champollion, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Leon_Cogniet_-_Jean-Francois_Champollion.jpg/220px-Leon_Cogniet_-_Jean-Francois_Champollion.jpg, , 1832-03-04, 65970
Grahame Clark, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/1990_Clark_laudatio.jpg/220px-1990_Clark_laudatio.jpg, , 1995-09-12, 51643
Louis Leakey, http://upload.wikimedia.org/wikipedia/commons/f/fa/Louis_Leakey.jpg, 1903-08-07, 1972-10-01, 43032
Xu Xusheng, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Xu_Xusheng.jpg/220px-Xu_Xusheng.jpg, , , 4554
T. E. Lawrence, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/With_Lawrence_in_Arabia.jpg/220px-With_Lawrence_in_Arabia.jpg, 1888-08-16, 1935-05-19, 70352
William Robertson Smith, http://upload.wikimedia.org/wikipedia/commons/6/63/WilliamRobertsonSmith.jpg, , 1894-03-31, 31738
Charles Thurstan Shaw, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Thurstan_shaw_1967.jpg/220px-Thurstan_shaw_1967.jpg, 1914-06-27, 2013-03-08, 7804
Bruce Trigger, http://upload.wikimedia.org/wikipedia/en/c/ca/Bruce_Trigger.jpg, 1937-06-18, 2006-12-01, 8150
E. Lee Spence, http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Spence_with_gold_sword_handle.jpg/220px-Spence_with_gold_sword_handle.jpg, , , 18184
John Thurman, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/John_Thurman.jpg/220px-John_Thurman.jpg, , , 3767
Peter Ucko, http://upload.wikimedia.org/wikipedia/en/c/c3/Peter_Ucko.jpg, 1938-07-27, 2007-06-14, 15318
Marek Zvelebil, http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Marekzvelebil.JPG/220px-Marekzvelebil.JPG, 1952-01-09, 2011-07-07, 3795
Charles Warren, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Charles_Warren_carbon_print_portrait_by_Herbert_Rose_Barraud_of_London.jpg/220px-Charles_Warren_carbon_print_portrait_by_Herbert_Rose_Barraud_of_London.jpg, 1840-02-07, 1927-01-21, 20444
Zheng Zhenduo, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Zhen_zhenduo.jpg/220px-Zhen_zhenduo.jpg, , , 17418
Johann Joachim Winckelmann, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Johann_Joachim_Winckelmann_%28Raphael_Mengs_after_1755%29.jpg/225px-Johann_Joachim_Winckelmann_%28Raphael_Mengs_after_1755%29.jpg, 1717-12-09, 1768-06-08, 24186
Yigael Yadin, http://upload.wikimedia.org/wikipedia/commons/e/e6/Ygal_Yadin_-_Lt_Gel_1949-1952.jpg, 1917-03-20, 1984-06-28, 8886
Leonard Woolley, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Woolley_holding_the_hardened_plaster_mold_of_a_lyre.jpg/220px-Woolley_holding_the_hardened_plaster_mold_of_a_lyre.jpg, 1880-04-17, 1960-02-20, 6290
Joyce White, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Drwhitepic1.JPG/220px-Drwhitepic1.JPG, 2013-010-01, , 15560
Lee Rogers Berger, http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Lee_Berger_and_sediba_skeleton.jpg/220px-Lee_Berger_and_sediba_skeleton.jpg, 1965-12-22, , 19458
Adolphe Napoléon Didron, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Adolphe_Napoleon_Didron.jpg/220px-Adolphe_Napoleon_Didron.jpg, , , 2864
Mick Aston, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/MickAston.jpg/200px-MickAston.jpg, 1946-07-01, 2013-06-24, 27421
Gertrude Bell, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/BellK_218_Gertrude_Bell_in_Iraq_in_1909_age_41.jpg/220px-BellK_218_Gertrude_Bell_in_Iraq_in_1909_age_41.jpg, 1868-07-14, 1926-07-12, 32625
R. D. Banerji, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rakhaldas_Bandyopadhyay.jpg/200px-Rakhaldas_Bandyopadhyay.jpg, 1885-04-12, 1930-05-23, 6172
Avraham Biran, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Avraham_Biran.jpg/150px-Avraham_Biran.jpg, , , 11888
J. Desmond Clark, http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/DesmondClark.jpg/220px-DesmondClark.jpg, 1916-04-10, 2002-02-14, 4252
Karl Butzer, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Butzer_karl.JPG/220px-Butzer_karl.JPG, , 2016-05-05, 6815
Giovanni Battista Belzoni, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Belzoni1.jpg/150px-Belzoni1.jpg, 1778-11-05, 1823-12-03, 8236
Honor Frost, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Honor_Frost.jpg/220px-Honor_Frost.jpg, 1917-10-28, 2010-09-12, 8309
Khaled al-Asaad, http://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Khaled_al-Asaad_2012.jpg/300px-Khaled_al-Asaad_2012.jpg, , , 10494
Ruth Amiran, http://upload.wikimedia.org/wikipedia/en/thumb/3/34/Ruth_Amiran.jpg/220px-Ruth_Amiran.jpg, , 2005-12-14, 1163
Adolph Francis Alphonse Bandelier, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Adolf_Bandelier.jpg/220px-Adolf_Bandelier.jpg, , 1914-03-18, 6454
Howard Carter, http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Howard_carter.jpg/210px-Howard_carter.jpg, 1874-05-09, 1939-03-02, 15756
William F. Albright, http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/William_Albright_1957.jpg/220px-William_Albright_1957.jpg, 1891-05-24, 1971-09-19, 13709
Mikhail Artamonov, http://upload.wikimedia.org/wikipedia/commons/1/1a/Artamonov_student.jpg, , 1972-07-31, 2382
Fred Vargas, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Fred_Vargas.jpg/180px-Fred_Vargas.jpg, 1957-06-07, , 6067
Glynn Isaac, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/ClarkIsaac.jpg/220px-ClarkIsaac.jpg, 1937-11-19, 1985-10-05, 3741
Carl Blegen, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Carl_Blegen_in_1922.jpg/220px-Carl_Blegen_in_1922.jpg, 1887-01-27, 1971-08-24, 6509
Jesse Walter Fewkes, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/JesseWalterFewkes_ca1919.JPG/250px-JesseWalterFewkes_ca1919.JPG, 1850-11-14, , 6681
W. F. Grimes, http://upload.wikimedia.org/wikipedia/en/thumb/3/35/W._F._Grimes.jpg/220px-W._F._Grimes.jpg, 1905-10-31, 1988-12-25, 6895
Wilhelm Dörpfeld, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Doerpfeld2.jpg/150px-Doerpfeld2.jpg, , 1940-04-25, 11574
V. Gordon Childe, http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Gordon_Childe.jpg/200px-Gordon_Childe.jpg, 1892-04-14, 1957-10-19, 77899
Athanasius Kircher, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Athanasius_Kircher.jpg/220px-Athanasius_Kircher.jpg, , 1680-11-29, 40175
Zahi Hawass, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Zahi_Hawass.jpg/240px-Zahi_Hawass.jpg, 1947-05-28, , 38943
Eleazar Sukenik, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/E_L_Sukenik_1951.jpg/220px-E_L_Sukenik_1951.jpg, 1889-08-12, 1953-02-28, 5516
Heinrich Schliemann, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Heinrich_Schliemann.jpg/200px-Heinrich_Schliemann.jpg, 1822-01-06, 1890-12-26, 23487
Francesco Scipione, marchese di Maffei, http://upload.wikimedia.org/wikipedia/en/f/f2/Francesco_Scipione%2C_marquis_di_Maffei.jpg, 1675-06-01, 1755-02-11, 8924
O. G. S. Crawford, http://upload.wikimedia.org/wikipedia/en/thumb/3/3a/O._G._S._Crawford.jpg/220px-O._G._S._Crawford.jpg, 1886-10-28, 1957-11-28, 57317
Christian Jürgensen Thomsen, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Christian_J%C3%BCrgensen_Thomsen.jpg/240px-Christian_J%C3%BCrgensen_Thomsen.jpg, 1788-12-29, 1865-05-21, 11441
Jens Jacob Asmussen Worsaae, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Jens_Jacob_Asmussen_Worsaae_from_Familj-Journalen1885.png/220px-Jens_Jacob_Asmussen_Worsaae_from_Familj-Journalen1885.png, 1821-03-14, 1885-08-15, 9602
Aurel Stein, http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Aurel_Stein_1909.jpg/230px-Aurel_Stein_1909.jpg, 1862-11-26, 1943-10-26, 19072
Vivant Denon, http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Vivant_Denon_-_Self-portrait_1823.jpg/150px-Vivant_Denon_-_Self-portrait_1823.jpg, , 1825-04-28, 9769
Jean Baptiste Seroux d'Agincourt, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Jean_Baptiste_Louis_Georges_Seroux_d%27Agincourt.jpg/220px-Jean_Baptiste_Louis_Georges_Seroux_d%27Agincourt.jpg, , 1814-09-24, 1970
Thomas Jefferson, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg/220px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg, 1743-04-13, 1826-07-04, 146990
Mortimer Wheeler, http://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Robert_Mortimer_Wheeler_by_Howard_Coster.jpg/220px-Robert_Mortimer_Wheeler_by_Howard_Coster.jpg, , 1976-07-22, 89780
