name, img, birth, death, length 
Charles Lucien Bonaparte, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Bonaparte_Charles_Lucien_1803-1857.png/150px-Bonaparte_Charles_Lucien_1803-1857.png, 1803-05-24, 1857-07-29, 11928
Sidney Dillon Ripley, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mary_Livingston_Ripley_%28d._1996%29%2C_S._Dillon_Ripley_%281913-2001%29%2C_Salim_Ali.jpg/220px-Mary_Livingston_Ripley_%28d._1996%29%2C_S._Dillon_Ripley_%281913-2001%29%2C_Salim_Ali.jpg, , 2001-03-12, 11371
William Thomas Blanford, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/WTBlanford.jpg/220px-WTBlanford.jpg, 1832-10-07, 1905-06-23, 10198
Isidore Geoffroy Saint-Hilaire, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Isidore_Geoffroy_Saint-Hilaire.jpg/150px-Isidore_Geoffroy_Saint-Hilaire.jpg, , 1861-11-10, 4268
Alan Brooke, 1st Viscount Alanbrooke, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/General_Sir_Alan_Brooke%2C_Chief_of_General_Staff%2C_1942_TR153.jpg/250px-General_Sir_Alan_Brooke%2C_Chief_of_General_Staff%2C_1942_TR153.jpg, 1883-07-23, 1963-06-17, 38244
Philip Henry Gosse, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/PhilipHenryGosse%2C1855.jpg/220px-PhilipHenryGosse%2C1855.jpg, 1810-04-06, 1888-08-24, 30013
John Edward Gray, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/John-Edward-Gray-1851.jpg/220px-John-Edward-Gray-1851.jpg, , 1875-03-07, 10526
James Bond (ornithologist), http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/James_Bond_1974.jpg/220px-James_Bond_1974.jpg, 1900-01-04, 1989-02-14, 6704
Johann Friedrich Gmelin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Johann_Friedrich_Gmelin.jpg/200px-Johann_Friedrich_Gmelin.jpg, 1748-08-08, 1804-11-01, 5864
C. L. Gloger, http://upload.wikimedia.org/wikipedia/commons/8/8a/Constantin_Wilhelm_Lambert_Gloger.jpg, , , 1897
