name, img, birth, death, length 
Martin Chalfie, http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Martin_Chalfie-press_conference_Dec_07th%2C_2008-4.jpg/220px-Martin_Chalfie-press_conference_Dec_07th%2C_2008-4.jpg, 1947-01-15, , 10455
Raymond Davis Jr., http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Raymond_Davis%2C_Jr_2001.jpg/220px-Raymond_Davis%2C_Jr_2001.jpg, 1914-10-14, 2006-05-31, 13097
Herbert Henry Dow, http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/HDow1888.jpg/220px-HDow1888.jpg, , 1930-10-15, 8911
Hermann Kolbe, http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Hermann_Kolbe2.jpg/220px-Hermann_Kolbe2.jpg, 1818-09-27, 1884-11-25, 10568
Yuan T. Lee, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Yuan_T._Lee_1-1.jpg/220px-Yuan_T._Lee_1-1.jpg, 1936-11-19, , 29824
Otto Diels, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Otto_Paul_Hermann_Diels.jpg/180px-Otto_Paul_Hermann_Diels.jpg, 1876-01-23, 1954-03-07, 7057
Julius Lothar Meyer, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/L._Meyer_-_1883.jpg/220px-L._Meyer_-_1883.jpg, , , 7035
Archer Martin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Archer_John_Porter_Martin_Nobel.jpg/220px-Archer_John_Porter_Martin_Nobel.jpg, 1910-03-01, 2002-07-28, 6986
George S. Hammond, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/GerogeSHammond.png/220px-GerogeSHammond.png, 1921-05-22, 2005-10-05, 34663
Emil Erlenmeyer, http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Richard_August_Carl_Emil_Erlenmeyer-1.jpeg/220px-Richard_August_Carl_Emil_Erlenmeyer-1.jpeg, 1825-06-28, 1909-01-22, 6948
Cornelis Drebbel, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Drebbel_Van_Sichem_ca_1631_groot.jpg/200px-Drebbel_Van_Sichem_ca_1631_groot.jpg, , , 13807
Conrad Elvehjem, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Linkomies_and_Elvehjelm.jpg/150px-Linkomies_and_Elvehjelm.jpg, 1901-05-27, 1962-07-27, 7817
Sima Lozanić, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Sima_lozanic.jpg/220px-Sima_lozanic.jpg, 1847-02-24, , 5111
Nicolas Flamel, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Nicolas_Flamel_Histoire_critique.jpg/220px-Nicolas_Flamel_Histoire_critique.jpg, , , 12006
Richard R. Ernst, http://upload.wikimedia.org/wikipedia/commons/7/70/Richard_R_Ernst.jpg, 1933-08-14, , 15139
Paul Ehrlich, http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Paul_Ehrlich_1915.jpg/220px-Paul_Ehrlich_1915.jpg, 1854-03-14, 1915-08-21, 37830
Charles Martin Hall, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Charles_Martin_Hall_1880s.jpg/220px-Charles_Martin_Hall_1880s.jpg, , 1914-12-28, 11558
Mostafa El-Sayed, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/MAE_Profile_I_031516.jpg/220px-MAE_Profile_I_031516.jpg, 1933-05-08, , 17894
Victor Goldschmidt, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Victorgoldschmidt0006MA8633570-0001.jpg/220px-Victorgoldschmidt0006MA8633570-0001.jpg, 1888-01-27, 1947-03-20, 9580
Hans von Euler-Chelpin, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Euler-chelpin.jpg/180px-Euler-chelpin.jpg, 1873-02-15, 1964-11-06, 11050
Carl Theodore Liebermann, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Carl_Liebermann_Berlin.jpg/220px-Carl_Liebermann_Berlin.jpg, 1842-02-23, 1914-12-28, 2643
Gerhard Ertl, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Prof_Ertl-Portrait.jpg/220px-Prof_Ertl-Portrait.jpg, 1936-10-10, , 11874
Hans Fischer, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Hans_Fischer_%28Nobel%29.jpg/180px-Hans_Fischer_%28Nobel%29.jpg, 1881-07-27, 1945-03-31, 7516
Richard Abegg, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Richard_Abegg.jpg/220px-Richard_Abegg.jpg, 1869-01-09, 1910-04-03, 6203
Allen J. Bard, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/KSA_2068_%2813112572023%29.jpg/200px-KSA_2068_%2813112572023%29.jpg, 1933-12-18, , 17189
Kurt Alder, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Kurt_Alder_Nobel.jpg/180px-Kurt_Alder_Nobel.jpg, 1902-07-10, 1958-06-20, 6758
Jaroslav Heyrovský, http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Heyrovsky_Jaroslav.jpg/220px-Heyrovsky_Jaroslav.jpg, 1890-12-20, 1967-03-27, 9643
Charles Herty, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Charles_Herty.jpg/220px-Charles_Herty.jpg, 1867-12-04, 1938-07-27, 24541
Gerhard Herzberg, http://upload.wikimedia.org/wikipedia/commons/4/4f/Herzberg%2CGerhard_1952_London.jpg, , 1999-03-03, 14683
Walter Gilbert, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Walter_Gilbert_HD2008_portrait.JPG/220px-Walter_Gilbert_HD2008_portrait.JPG, 1932-03-21, , 13603
Frederick Abel, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Frederick_Augustus_Abel2.jpg/240px-Frederick_Augustus_Abel2.jpg, 1827-07-17, 1902-09-06, 6557
Manfred Eigen, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Eigen%2CManfred_1996_G%C3%B6ttingen.jpg/220px-Eigen%2CManfred_1996_G%C3%B6ttingen.jpg, 1927-05-09, , 13797
Jeffrey S. Moore, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nuvola_apps_kaboodle.svg/16px-Nuvola_apps_kaboodle.svg.png, , , 22816
Charles Hatchett, http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Charles_Hatchett_2.jpg/180px-Charles_Hatchett_2.jpg, 1765-01-02, 1847-03-10, 5372
Sidney Altman, http://upload.wikimedia.org/wikipedia/commons/5/57/Sidney_Altman_crop.jpg, 1939-05-07, , 10948
Johann Rudolf Glauber, http://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Johann_Rudolf_Glauber.jpg/220px-Johann_Rudolf_Glauber.jpg, , 1670-03-10, 9268
Leopold Gmelin, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Leopold_Gmelin.jpg/220px-Leopold_Gmelin.jpg, 1788-08-02, 1853-04-13, 10383
Arthur Harden, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/ArthurHarden.jpg/162px-ArthurHarden.jpg, 1865-10-12, 1940-06-17, 7053
Joseph Louis Gay-Lussac, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Gaylussac.jpg/225px-Gaylussac.jpg, 1778-12-06, 1850-05-09, 8045
Johan Gadolin, http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Johan-Gadolin-1960.jpg/150px-Johan-Gadolin-1960.jpg, 1760-06-05, 1852-08-15, 11688
Antoine François, comte de Fourcroy, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Antoine_Fran%C3%A7ois%2C_comte_de_Fourcroy.jpg/250px-Antoine_Fran%C3%A7ois%2C_comte_de_Fourcroy.jpg, 1755-06-15, 1809-12-16, 7219
Vladimir Ipatieff, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Ipatieff1.jpg/220px-Ipatieff1.jpg, 1867-11-21, 1952-11-29, 4733
Paul Karrer, http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Paul_Karrer.jpg/220px-Paul_Karrer.jpg, 1889-04-21, 1971-06-18, 8013
Francis Muguet, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Francis_muguet.jpg/220px-Francis_muguet.jpg, 1955-04-30, 2009-10-14, 2774
Frédéric Joliot-Curie, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Joliot-fred.jpg/180px-Joliot-fred.jpg, 1900-03-19, 1958-08-14, 11971
Avram Hershko, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flickr_-_Government_Press_Office_%28GPO%29_-_Nobel_Laureate_Avram_Hershko.jpg/220px-Flickr_-_Government_Press_Office_%28GPO%29_-_Nobel_Laureate_Avram_Hershko.jpg, 1937-12-31, , 11588
Jacobus Henricus van 't Hoff, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Jacobus_van_%27t_Hoff_by_Perscheid_1904.jpg/220px-Jacobus_van_%27t_Hoff_by_Perscheid_1904.jpg, 1852-08-30, 1911-03-01, 15860
Alan J. Heeger, http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Heeger%2C_Alan_J._%281936%29.jpg/220px-Heeger%2C_Alan_J._%281936%29.jpg, 1936-01-22, , 9890
Jerome Karle, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Jerome_Karle%2C_2009.jpg/200px-Jerome_Karle%2C_2009.jpg, 1918-06-18, 2013-06-06, 10631
Adolf Windaus, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Windaus.jpg/180px-Windaus.jpg, , 1959-06-09, 6827
