name, img, birth, death, length 
John Moffat (physicist), http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/John_Moffat_2007.jpg/220px-John_Moffat_2007.jpg, 1932-05-24, , 15243
Martin Rees, http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Martin_Rees-6Nov2005.jpg/220px-Martin_Rees-6Nov2005.jpg, 1942-06-23, , 17797
Saul Perlmutter, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Nobel_Prize_2011-Press_Conference_KVA-DSC_7744.jpg/200px-Nobel_Prize_2011-Press_Conference_KVA-DSC_7744.jpg, 1959-09-22, , 17794
Mark M. Phillips, http://upload.wikimedia.org/wikipedia/en/thumb/5/5e/MMPhillipsIMG_7293x.jpg/150px-MMPhillipsIMG_7293x.jpg, 1951-03-31, , 2616
Ali Qushji, http://upload.wikimedia.org/wikipedia/en/b/b0/Ali_Ku%C5%9F%C3%A7u_Portre.jpg, , , 17784
David Todd Wilkinson, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/David_Todd_Wilkinson.jpg/160px-David_Todd_Wilkinson.jpg, , , 1860
J. Richard Gott, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/JRichardGott1989.jpg/240px-JRichardGott1989.jpg, 1947-02-08, , 9045
Brian Swimme, http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Brian_swimme.jpg/150px-Brian_swimme.jpg, , , 10819
Joseph Silk, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Joseph_Silk.jpg/220px-Joseph_Silk.jpg, 1942-12-03, , 5443
Alan Guth, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/AlanGuthCambridge.jpg/220px-AlanGuthCambridge.jpg, 1947-02-27, , 17636
Georges Lemaître, http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Lemaitre.jpg/220px-Lemaitre.jpg, 1894-07-17, 1966-06-20, 28635
Rashid Sunyaev, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Sunyaev.jpg/220px-Sunyaev.jpg, 1943-03-01, , 9819
Rashid Sunyaev, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Sunyaev.jpg/220px-Sunyaev.jpg, 1943-03-01, , 9819
Robert Woodrow Wilson, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Robert_Wilson_%2828215880301%29_%28cropped%29.jpg/220px-Robert_Wilson_%2828215880301%29_%28cropped%29.jpg, 1936-01-10, , 7481
Willem de Sitter, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/WillemDeSitter3.jpg/220px-WillemDeSitter3.jpg, 1872-05-06, 1934-11-20, 8149
Wolfgang Rindler, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/WolfgangRindler.jpg/240px-WolfgangRindler.jpg, 1924-05-18, , 2570
Hannes Alfvén, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/YoungAlfven.jpg/200px-YoungAlfven.jpg, 1908-05-30, 1995-04-02, 21896
