name, img, birth, death, length 
Balfour Currie, http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/BalfourCurrie1.jpg/220px-BalfourCurrie1.jpg, 1902-11-01, 1981-01-08, 3514
Jacob Bjerknes, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Jacob_bjerknes_headshot.jpg/220px-Jacob_bjerknes_headshot.jpg, 1897-11-02, 1975-07-07, 5532
Thomas Sterry Hunt, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Thomas_Sterry_Hunt.png/220px-Thomas_Sterry_Hunt.png, , 1892-02-12, 9105
John T. Houghton, http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/John_Houghton_High_Wycombe_20050226.jpg/150px-John_Houghton_High_Wycombe_20050226.jpg, 1931-12-30, , 10222
Eric J. Barron, http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Eric_Barron.jpg/220px-Eric_Barron.jpg, 1951-10-26, , 5233
David Karoly, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/David_Karoly_DSC_9243.JPG/220px-David_Karoly_DSC_9243.JPG, , , 2390
Richard Alley, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Professor_Richard_Alley_ForMemRS.jpg/220px-Professor_Richard_Alley_ForMemRS.jpg, , , 11726
André Berger, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Andr%C3%A9_Berger.jpg/220px-Andr%C3%A9_Berger.jpg, 1942-07-30, , 20822
Roger A. Pielke, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Roger_Pielke_sr.jpg/170px-Roger_Pielke_sr.jpg, 1946-10-22, , 7803
Edmond Halley, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Edmond_Halley_072.jpg/220px-Edmond_Halley_072.jpg, , , 24473
Olga Zolina, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Dr._Olga_Zolina.jpg/220px-Dr._Olga_Zolina.jpg, 1975-02-06, , 13101
Gavin Schmidt, http://upload.wikimedia.org/wikipedia/commons/7/76/Gavin_Schmidt.jpg, , , 9345
Benjamin D. Santer, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bensanter.jpg/220px-Bensanter.jpg, 1955-06-03, , 4933
J. Marshall Shepherd, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/MarshallLecturePic.jpg/220px-MarshallLecturePic.jpg, , , 5266
Joseph Smagorinsky, http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Joseph_Smagorinsky.png/200px-Joseph_Smagorinsky.png, 1924-01-29, 2005-09-21, 36074
Eric Rignot, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Eric_Rignot_NASA_JPL.jpg/220px-Eric_Rignot_NASA_JPL.jpg, , , 4230
Robert Watson (scientist), http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Bob_Watson.jpg/220px-Bob_Watson.jpg, 1948-03-21, , 11150
Andrew J. Weaver, http://upload.wikimedia.org/wikipedia/commons/4/44/Dr_Andrew_J_Weaver%2C_2014-05-14.jpg, , , 13111
Peter Wadhams, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Professor_Peter_Wadhams_at_COP22_%2830972177906%29.jpg/220px-Professor_Peter_Wadhams_at_COP22_%2830972177906%29.jpg, 1948-05-14, , 1850
Stefan Rahmstorf, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Prof._Stefan_Rahmstorf.jpg/220px-Prof._Stefan_Rahmstorf.jpg, 1960-02-22, , 8704
Hans von Storch, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Hans_von_Storch.jpg/220px-Hans_von_Storch.jpg, 1949-08-13, , 11044
Ralph Cicerone, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ralph_Cicerone_NAS_2013.jpg/220px-Ralph_Cicerone_NAS_2013.jpg, 1943-05-0220051998, 2016-11-05, 10144
Henrik Svensmark, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/HenrikSvensmark.jpg/180px-HenrikSvensmark.jpg, , , 22369
Ian G. Enting, http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/23px-Flag_of_Australia.svg.png, 1948-09-25, , 1938
Patrick Michaels, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Patrick_Michaels_by_Gage_Skidmore.jpg/220px-Patrick_Michaels_by_Gage_Skidmore.jpg, 1950-02-15, , 20033
Shen Kuo, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Shen_Kua.JPG/280px-Shen_Kua.JPG, , , 81089
Marcia McNutt, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Marcia_McNutt.jpg/220px-Marcia_McNutt.jpg, 1952-02-192016-07-012009, , 52544
James Lovelock, http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/James_Lovelock_in_2005.jpg/220px-James_Lovelock_in_2005.jpg, 1919-07-26, , 38736
John Tyndall, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/JohnTyndall%281820-1893%29%2CEngraving%2CSIL14-T003-09a_cropped.jpg/220px-JohnTyndall%281820-1893%29%2CEngraving%2CSIL14-T003-09a_cropped.jpg, 1820-08-02, , 69788
Hans Joachim Schellnhuber, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/HJS_Ausschnitt_B%C3%BCro_bw.jpg/200px-HJS_Ausschnitt_B%C3%BCro_bw.jpg, 1950-06-07, , 28689
Michael E. Mann, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Mann4.jpg/200px-Mann4.jpg, , , 49090
Paul J. Crutzen, http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Paul_Crutzen.jpg/220px-Paul_Crutzen.jpg, 1933-12-03, , 18373
John A. Church, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/John_A_Church_February_2016.JPG/220px-John_A_Church_February_2016.JPG, , , 6790
Guy Stewart Callendar, http://upload.wikimedia.org/wikipedia/en/thumb/4/4b/GSCallendar1934.jpg/250px-GSCallendar1934.jpg, , 1964-11, 4879
Harold E. Brooks, http://upload.wikimedia.org/wikipedia/commons/6/6f/Harold_Brooks_portrait.jpg, 1959-03-11, , 2505
Ernest Afiesimama, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Ernest_Asi_Afiesimama.jpg/220px-Ernest_Asi_Afiesimama.jpg, , , 5306
Susan Solomon, http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Susan_Solomon-Desk_With_Globe.jpg/220px-Susan_Solomon-Desk_With_Globe.jpg, 1956-01-19, , 31965
Svante Arrhenius, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Arrhenius2.jpg/220px-Arrhenius2.jpg, 1859-02-19, 1927-10-02, 28911
Benjamin Franklin, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/BenFranklinDuplessis.jpg/220px-BenFranklinDuplessis.jpg, 1706-01-17, 1790-04-17, 146850
James Hansen, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/James_Hansen_profile.jpg/220px-James_Hansen_profile.jpg, 1941-03-29, , 79118
