name, img, birth, death, length 
Wong Siew Te, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/BSBCC_Sabah_Wong-Siew-Te-01.jpg/220px-BSBCC_Sabah_Wong-Siew-Te-01.jpg, 1969-05-16, , 9464
William Thomas Blanford, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/WTBlanford.jpg/220px-WTBlanford.jpg, 1832-10-07, 1905-06-23, 10198
Gerty Cori, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Gerty_Theresa_Cori.jpg/220px-Gerty_Theresa_Cori.jpg, 1896-08-15, 1957-10-26, 28790
Erik Acharius, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Erik_Acharius.jpg/220px-Erik_Acharius.jpg, , 1819-08-15, 2838
Boyd Alexander, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/BoydAlexanderIbis1910.jpg/220px-BoydAlexanderIbis1910.jpg, 1873-01-16, 1910-04-02, 2651
Jules Bordet, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Jules_Bordet_signed.jpg/240px-Jules_Bordet_signed.jpg, 1870-06-13, 1961-04-06, 7869
Johann Friedrich Blumenbach, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Blumenbach%2C_Johann_Friedrich_%281752-1840%29.jpg/220px-Blumenbach%2C_Johann_Friedrich_%281752-1840%29.jpg, 1752-05-11, 1840-01-22, 24693
José Vicente Barbosa du Bocage, http://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Barbosa-du-bocage-jv.jpg/220px-Barbosa-du-bocage-jv.jpg, , 1907-11-04, 4589
George Bentham, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/GeorgeBentham.jpg/180px-GeorgeBentham.jpg, 1800-09-22, 1884-09-10, 12630
Henri Marie Ducrotay de Blainville, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Henri_Marie_Ducrotay_de_Blainville.jpg/220px-Henri_Marie_Ducrotay_de_Blainville.jpg, 1777-12-12, 1850-05-01, 3839
George Albert Boulenger, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Boulenger_George_1858-1937.png/220px-Boulenger_George_1858-1937.png, 1858 -10-19, 1937-11-23, 8124
Armand David, http://upload.wikimedia.org/wikipedia/commons/a/af/Mission_armand_david.jpg, 1826-09-07, 1900-11-10, 5028
Charles Lucien Bonaparte, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Bonaparte_Charles_Lucien_1803-1857.png/150px-Bonaparte_Charles_Lucien_1803-1857.png, 1803-05-24, 1857-07-29, 11928
