name, img, birth, death, length 
Anthony Hallam, http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/20px-Flag_of_the_United_Kingdom.svg.png, 1933-12-23, , 3859
Walter W. Granger, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/American_Museum_party.jpg/300px-American_Museum_party.jpg, 1872-11-07, 1941-09-06, 6022
Oswald Heer, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Oswald_Heer_1809%E2%80%931883.jpg/220px-Oswald_Heer_1809%E2%80%931883.jpg, 1809-08-31, 1883-09-27, 4749
Amanz Gressly, http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Amanz_gressly.jpg/150px-Amanz_gressly.jpg, , 1865-04-14, 3665
Richard E. Grant, http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/BAFTA_2007_%28387046786%29.jpg/220px-BAFTA_2007_%28387046786%29.jpg, 1957-05-05, , 23385
John Bell Hatcher, http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/PSM_V67_D568_John_Bell_Hatcher.png/220px-PSM_V67_D568_John_Bell_Hatcher.png, 1861-10-11, 1904-07-03, 3664
Othenio Abel, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Othenio_Abel.jpg/220px-Othenio_Abel.jpg, 1875-06-20, 1946-07-04, 8070
Truman H. Aldrich, http://upload.wikimedia.org/wikipedia/commons/2/29/Truman_Heminway_Aldrich.png, 1848-10-17, 1932-04-28, 9926
William Joscelyn Arkell, http://upload.wikimedia.org/wikipedia/en/thumb/9/99/William_Joscelyn_Arkell.jpg/220px-William_Joscelyn_Arkell.jpg, 1904-06-09, 1958-04-18, 9021
Thomas Henry Huxley, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/T.H.Huxley%28Woodburytype%29.jpg/220px-T.H.Huxley%28Woodburytype%29.jpg, 1825-05-04, 1895-06-29, 92634
Graham Budd, http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Graham_Budd_2011_V%C3%A4sterg%C3%B6tland.jpg/220px-Graham_Budd_2011_V%C3%A4sterg%C3%B6tland.jpg, , 1968-09-08, 1901
George Busk, http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/George_Busk2.jpg/220px-George_Busk2.jpg, 1807-08-12, 1886-08-10, 4719
Christian Leopold von Buch, http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Leopold_von_Buch%2C_Carl_Josef_Begas%2C_C_Fischer_%281850%29.jpg/150px-Leopold_von_Buch%2C_Carl_Josef_Begas%2C_C_Fischer_%281850%29.jpg, 1774-04-26, 1853-03-04, 8249
Mary Buckland, http://upload.wikimedia.org/wikipedia/en/thumb/5/51/Mary_Morland_Buckland%2C_from_an_original_photograph.jpg/220px-Mary_Morland_Buckland%2C_from_an_original_photograph.jpg, , , 4882
Eudald Carbonell, http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Eudald_Carbonell.jpg/220px-Eudald_Carbonell.jpg, 1953-02-17, , 3698
Henry Christy, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/HenryChristyCropped.jpg/220px-HenryChristyCropped.jpg, , 1865-05-05, 9165
Giovanni Capellini, http://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Giovanni_Capellini.jpg/220px-Giovanni_Capellini.jpg, 1833-08-23, 1922-05-28, 5023
Robert T. Bakker, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Dr._Bob_Bakker.jpg/220px-Dr._Bob_Bakker.jpg, 1945-03-24, , 8419
Mary Anning, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Mary_Anning_painting.jpg/220px-Mary_Anning_painting.jpg, 1799-05-21, 1847-03-09, 58398
Jorge O. Calvo, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Dr._Jorge_Orlando_Calvo.jpg/220px-Dr._Jorge_Orlando_Calvo.jpg, 1961-04-27, , 5816
Adolphe-Théodore Brongniart, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Adolphe_Th%C3%A9odore_Brongniart00.jpg/220px-Adolphe_Th%C3%A9odore_Brongniart00.jpg, 1801-01-14, 1876-02-18, 6565
Robert Broom, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Robert_Broom00.jpg/220px-Robert_Broom00.jpg, 1866-11-30, 1951-04-06, 7112
Barnum Brown, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/BarnumBrown_Student.jpg/220px-BarnumBrown_Student.jpg, , , 6243
Walter Hermann Bucher, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 1888-03-12, 1965-02-17, 7030
Stephen L. Brusatte, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Stephen_Brusatte.tif/lossy-page1-220px-Stephen_Brusatte.tif.jpg, 1984-04-24, , 7724
Mary Gordon Calder, http://upload.wikimedia.org/wikipedia/en/thumb/8/88/Mary_Gordon_Calder_%28circa_1929%29.jpg/220px-Mary_Gordon_Calder_%28circa_1929%29.jpg, , , 4929
James Scott Bowerbank, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/James_Scott_Bowerbank.jpg/200px-James_Scott_Bowerbank.jpg, , 1877-03-08, 2616
Stoycho Vassilev Breskovski, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Dr_Breskovski_in_a_Fossilling_Day_with_Students_Summer_1981.jpg/220px-Dr_Breskovski_in_a_Fossilling_Day_with_Students_Summer_1981.jpg, 1934-12-25, 2004-01-15, 7583
Irene Crespin, http://upload.wikimedia.org/wikipedia/commons/c/cc/Irene_Crespin.jpg, 1896-11-12, 1980-01-02, 5982
Alberto Cobos, http://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/20px-Flag_of_Spain.svg.png, , , 812
Luis M. Chiappe, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Luis_M._Chiappe.jpg/220px-Luis_M._Chiappe.jpg, , , 2415
Fabio Colonna, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Portrait_of_Colonna_1572.jpg/220px-Portrait_of_Colonna_1572.jpg, , 1640-07-25, 5276
William Conybeare (geologist), http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/William_Conybeare.gif/180px-William_Conybeare.gif, , 1857-08-12, 6464
John Mason Clarke, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/John_M._Clarke.jpg/220px-John_M._Clarke.jpg, , , 8700
