name, img, birth, death, length 
Oskar Anderson, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Oskar_Anderson.jpg/150px-Oskar_Anderson.jpg, 1887-08-02, 1960-02-12, 3643
Theodore Wilbur Anderson, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/TW_Anderson.jpeg/150px-TW_Anderson.jpeg, , , 5141
James Joseph Sylvester, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/James_Joseph_Sylvester.jpg/220px-James_Joseph_Sylvester.jpg, 1814-09-03, 1897-03-15, 13557
W. Edwards Deming, http://upload.wikimedia.org/wikipedia/en/a/a3/W._Edwards_Deming.gif, 1900-10-14, 1993-12-20, 37260
George E. P. Box, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/GeorgeEPBox.jpg/200px-GeorgeEPBox.jpg, 1919-10-18, 2013-03-28, 10273
Howell Tong, http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/The_2014_ISA_public_lecture_Bologna.jpg/220px-The_2014_ISA_public_lecture_Bologna.jpg, , , 9760
David Blackwell, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/David_Blackwell_1999.jpeg/220px-David_Blackwell_1999.jpeg, 1919-04-24, 2010-07-08, 7173
Abraham Wald, http://upload.wikimedia.org/wikipedia/en/thumb/0/05/Abraham_Wald_in_his_youth.jpg/220px-Abraham_Wald_in_his_youth.jpg, 1902-10-31, 1950-12-13, 7409
Robert F. Engle, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Robert_Engle_SantiagoWEAI2017.png/220px-Robert_Engle_SantiagoWEAI2017.png, 1942-11-10, , 8770
Geoffrey Grimmett, http://upload.wikimedia.org/wikipedia/commons/7/76/Geoffrey_Grimmett_cropped_for_small_screen_use.jpg, 1950-12-20, , 6969
Thomas Farrer, 1st Baron Farrer, http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Photo_of_Thomas_Farrer%2C_1st_Baron_Farrer.jpg/200px-Photo_of_Thomas_Farrer%2C_1st_Baron_Farrer.jpg, 1819-06-24, , 8484
Benjamin Gompertz, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Gompertz.png/200px-Gompertz.png, 1779-03-05, 1865-07-14, 5701
André-Michel Guerry, http://upload.wikimedia.org/wikipedia/commons/e/e7/Signature_de_Andr%C3%A9-Michel_Guerry.png, , 1866-04-09, 6601
William Sealy Gosset, http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/William_Sealy_Gosset.jpg/240px-William_Sealy_Gosset.jpg, 1876-06-13, 1937-10-16, 7233
Ronald Freedman, http://upload.wikimedia.org/wikipedia/en/thumb/7/74/RonaldFreedman2002.jpg/220px-RonaldFreedman2002.jpg, 1917-08-08, 2007-11-21, 1916
Henry Fowler, 1st Viscount Wolverhampton, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Portrait_of_Henry_Fowler%2C_1st_Viscount_Wolverhampton.jpg/220px-Portrait_of_Henry_Fowler%2C_1st_Viscount_Wolverhampton.jpg, 1830-05-16, 1911-02-26, 9731
Donald Geman, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/DonaldGeman.jpg/220px-DonaldGeman.jpg, 1943-09-20, , 5410
Jayanta Kumar Ghosh, http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jayanta_Kumar_Ghosh.JPG/220px-Jayanta_Kumar_Ghosh.JPG, 1937-05-23, , 5330
George Gallup, http://upload.wikimedia.org/wikipedia/commons/5/58/George_Gallup.png, 1901-11-18, 1984-07-26, 6596
