name, img, birth, death, length 
Helmut Hasse, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Helmut_Hasse.jpg/150px-Helmut_Hasse.jpg, 1898-08-25, 1979-12-26, 5493
Evgraf Fedorov, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Evgraf_Fedorov_Mondadori.jpg/220px-Evgraf_Fedorov_Mondadori.jpg, 1853-12-22, 1919-05-21, 4623
Thales of Miletus, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Illustrerad_Verldshistoria_band_I_Ill_107.jpg/220px-Illustrerad_Verldshistoria_band_I_Ill_107.jpg, , , 71149
Shiing-Shen Chern, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Shiing-Shen_Chern.jpg/220px-Shiing-Shen_Chern.jpg, 1911-10-26, 2004-12-03, 34864
Buckminster Fuller, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/BuckminsterFuller1.jpg/220px-BuckminsterFuller1.jpg, 1895-07-12, 1983-07-01, 66470
M. C. Escher, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Escher.jpg/220px-Escher.jpg, 1898-06-17, 1972-03-27, 48215
Richard S. Hamilton, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Richard_Hamilton.jpg/220px-Richard_Hamilton.jpg, , , 7252
John Milnor, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/John_Milnor.jpg/220px-John_Milnor.jpg, 1931-02-20, , 24895
Siméon Denis Poisson, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Simeon_Poisson.jpg/225px-Simeon_Poisson.jpg, 1781-06-21, 1840-04-25, 29410
Pierre Ossian Bonnet, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Pierre-Ossian-Bonnet.jpg/220px-Pierre-Ossian-Bonnet.jpg, 1819-12-22, 1892-06-22, 3101
Edwin E. Moise, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Edwin_Moise_Headshot.jpg/150px-Edwin_Moise_Headshot.jpg, 1918-12-22, 1998-12-18, 5419
H. F. Baker, http://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Hfbaker.jpeg/220px-Hfbaker.jpeg, 1866-07-03, 1956-03-17, 5677
Philippe de La Hire, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Philippe_de_La_Hire_%281640-1719%29.jpg/220px-Philippe_de_La_Hire_%281640-1719%29.jpg, , , 5516
Beniamino Segre, http://upload.wikimedia.org/wikipedia/commons/7/7b/Beniamino_Segre.jpg, 1903-02-16, 1977-10-02, 8868
Euclid, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Euklid.jpg/220px-Euklid.jpg, , , 19465
Yuri Manin, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Juri_Manin%2C_Ksenia_Semenova.jpeg/220px-Juri_Manin%2C_Ksenia_Semenova.jpeg, 1937-02-16, , 8445
Branko Grünbaum, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Branko_Gr%C3%BCnbaum.jpg/220px-Branko_Gr%C3%BCnbaum.jpg, 1929-10-02, , 3546
William Thurston, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/William_Thurston.jpg/220px-William_Thurston.jpg, 1946-10-30, 2012-08-21, 15159
Károly Bezdek, http://upload.wikimedia.org/wikipedia/en/thumb/8/86/KarolyBezdekProfile.jpg/220px-KarolyBezdekProfile.jpg, 1955-05-28, , 10251
Roger Burrows, http://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Imagescvr.jpg/220px-Imagescvr.jpg, , , 9005
Marino Ghetaldi, http://upload.wikimedia.org/wikipedia/commons/4/49/Marino_Ghetaldi.gif, , 1626-04-12, 3773
Grigori Perelman, http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Perelman%2C_Grigori_%281966%29.jpg/300px-Perelman%2C_Grigori_%281966%29.jpg, 1966-06-13, , 30734
George W. Hart, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/George-hart-puzzle2.jpg/220px-George-hart-puzzle2.jpg, , , 8327
Tobias Mayer, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Tobias_Mayer.jpg/220px-Tobias_Mayer.jpg, 1723-02-17, 1762-02-20, 7251
Vergilius of Salzburg, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Saint_Virgilius%2C_Salzburg.jpg/225px-Saint_Virgilius%2C_Salzburg.jpg, , , 9017
Johann Heinrich Lambert, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/JHLambert.jpg/200px-JHLambert.jpg, 1728-08-26, 1777-09-25, 13643
Hero of Alexandria, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Hero_of_Alexandria.png/200px-Hero_of_Alexandria.png, , , 12918
Simon Donaldson, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Simon_Donaldson.jpg/220px-Simon_Donaldson.jpg, 1957-08-20, , 15760
Mikhail Leonidovich Gromov, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Gromov_Mikhail_Leonidovich.jpg/220px-Gromov_Mikhail_Leonidovich.jpg, 1943-12-23, , 14781
Mozi, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Mozi_drawing.jpg/220px-Mozi_drawing.jpg, , , 34237
Piero della Francesca, http://upload.wikimedia.org/wikipedia/commons/f/fa/Resurrection_detail.JPG, 1415, 1492-10-12, 16915
Zeno of Elea, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Zeno_of_Elea_Tibaldi_or_Carducci_Escorial.jpg/220px-Zeno_of_Elea_Tibaldi_or_Carducci_Escorial.jpg, , , 11980
Gaspard Monge, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Gaspard_monge_litho_delpech.jpg/220px-Gaspard_monge_litho_delpech.jpg, 1746-05-09, 1818-07-28, 12983
Max Noether, http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Noether_2514.JPG/220px-Noether_2514.JPG, 1844-09-24, 1921-12-13, 4791
Bernhard Riemann, http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Georg_Friedrich_Bernhard_Riemann.jpeg/225px-Georg_Friedrich_Bernhard_Riemann.jpeg, , 1866-07-20, 20320
Alicia Boole Stott, http://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Alicia_Boole_Stott.jpg/200px-Alicia_Boole_Stott.jpg, , 1940-12-18, 5687
János Bolyai, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Bolyai_J%C3%A1nos_%28M%C3%A1rkos_Ferenc_festm%C3%A9nye%29.jpg/200px-Bolyai_J%C3%A1nos_%28M%C3%A1rkos_Ferenc_festm%C3%A9nye%29.jpg, 1802-12-15, 1860-01-27, 7447
Henri Brocard, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Brocardpage.png/250px-Brocardpage.png, 1845-05-12, 1922-01-16, 10219
Karl Wilhelm Feuerbach, http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Karl_Wilhelm_Feuerbach.jpg/220px-Karl_Wilhelm_Feuerbach.jpg, , , 1968
Jakob Steiner, http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/JakobSteiner.jpg/150px-JakobSteiner.jpg, 1796-03-18, 1863-04-01, 6730
August Ferdinand Möbius, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/August_Ferdinand_M%C3%B6bius.png/250px-August_Ferdinand_M%C3%B6bius.png, 1790-11-17, 1868-09-26, 4527
Dmitri Egorov, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Dmitri_Egorov.jpg/200px-Dmitri_Egorov.jpg, 1869-12-22, 1931-09-10, 4140
Eratosthenes, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Eratosthene.01.png/220px-Eratosthene.01.png, , , 29372
Michael Freedman, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Michael_Freedman_2010.jpg/220px-Michael_Freedman_2010.jpg, 1951-04-21, , 16538
Michael Atiyah, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Michael_Francis_Atiyah.jpg/220px-Michael_Francis_Atiyah.jpg, 1929-04-22, , 61223
Archimedes, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Domenico-Fetti_Archimedes_1620.jpg/220px-Domenico-Fetti_Archimedes_1620.jpg, , , 57261
Emmy Noether, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Noether.jpg/220px-Noether.jpg, 1882-03-23, 1935-04-14, 89057
Johannes Kepler, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Johannes_Kepler_1610.jpg/220px-Johannes_Kepler_1610.jpg, 1571-12-27, 1630-11-15, 80341
Alexander Grothendieck, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Alexander_Grothendieck.jpg/220px-Alexander_Grothendieck.jpg, 1928-03-28, 2014-11-13, 45494
Omar Khayyam, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Omar_Khayyam_Profile.jpg/220px-Omar_Khayyam_Profile.jpg, , , 45899
René Descartes, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg/240px-Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg, 1596-03-31, 1650-02-11, 72554
Shing-Tung Yau, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Shing-Tung_Yau_at_Harvard.jpg/220px-Shing-Tung_Yau_at_Harvard.jpg, 1949-04-04, , 39179
Roger Penrose, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Roger_Penrose_at_Festival_della_Scienza_Oct_29_2011.jpg/220px-Roger_Penrose_at_Festival_della_Scienza_Oct_29_2011.jpg, 1931-08-08, , 40719
Leonhard Euler, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Leonhard_Euler.jpg/220px-Leonhard_Euler.jpg, 1707-04-15, 1783-09-18, 57305
Pythagoras, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Kapitolinischer_Pythagoras_adjusted.jpg/220px-Kapitolinischer_Pythagoras_adjusted.jpg, , , 60907
Blaise Pascal, http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Blaise_Pascal_Versailles.JPG/220px-Blaise_Pascal_Versailles.JPG, 1623-06-19, 1662-08-19, 54220
Lazare Carnot, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Lazare-Carnot-par-Boilly.jpg/200px-Lazare-Carnot-par-Boilly.jpg, 1753-05-13, 1823-08-02, 32346
Jean-Victor Poncelet, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Jean-Victor_Poncelet.jpg/250px-Jean-Victor_Poncelet.jpg, 1788-07-01, 1867-12-22, 10644
Carl Friedrich Gauss, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Carl_Friedrich_Gauss_1840_by_Jensen.jpg/220px-Carl_Friedrich_Gauss_1840_by_Jensen.jpg, 1777-04-30, 1855-02-23, 53343
Henri Poincaré, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Henri_Poincar%C3%A9-2.jpg/230px-Henri_Poincar%C3%A9-2.jpg, 1854-04-29, 1912-07-17, 67578
Albert Einstein, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/220px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg, 1879-03-14, 1955-04-18, 115355
Plato, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Plato_Silanion_Musei_Capitolini_MC1377.jpg/220px-Plato_Silanion_Musei_Capitolini_MC1377.jpg, , , 120788
Leonardo da Vinci, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Francesco_Melzi_-_Portrait_of_Leonardo_-_WGA14795.jpg/220px-Francesco_Melzi_-_Portrait_of_Leonardo_-_WGA14795.jpg, 1452-04-15, 1519-05-02, 83249
Ibn al-Haytham, http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Alhazen%2C_the_Persian.gif/220px-Alhazen%2C_the_Persian.gif, 0965, 1041, 87540
Isaac Newton, http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/GodfreyKneller-IsaacNewton-1689.jpg/220px-GodfreyKneller-IsaacNewton-1689.jpg, 1643-01-04, 1726-03-201727-03-31, 90392
Vladimir Arnold, http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Vladimir_Arnold-1.jpg/200px-Vladimir_Arnold-1.jpg, 1937-06-12, 2010-06-03, 28447
