name, img, birth, death, length 
Hugh B. Cott, http://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Hugh_Bamford_Cott.jpg/220px-Hugh_Bamford_Cott.jpg, 1900-07-06, 1987-04-18, 25137
John Alexander Moore, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/John_Alexander_Moore_signature.tif/lossless-page1-150px-John_Alexander_Moore_signature.tif.png, 1915-06-27, 2002-05-26, 6213
Paul Ayshford Methuen, 4th Baron Methuen, http://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Paul_Ayshford_Methuen%2C_4th_Baron_Methuen.jpg/220px-Paul_Ayshford_Methuen%2C_4th_Baron_Methuen.jpg, , 1974-01-08, 7186
Édouard Ménétries, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Menetries.jpg/220px-Menetries.jpg, , 1861-04-11, 13240
Chan Eng Heng, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Chan_Eng_Heng_with_Little_Turtle_Messenger2.jpg/220px-Chan_Eng_Heng_with_Little_Turtle_Messenger2.jpg, 1950-01-07, , 24652
Henri Milne-Edwards, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Henri_Milne-Edwards2.jpg/230px-Henri_Milne-Edwards2.jpg, 1800-10-23, 1885-07-29, 8163
Mark O'Shea (herpetologist), http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Mark_O%27Shea.jpg/220px-Mark_O%27Shea.jpg, , , 5875
Peter Simon Pallas, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Pallas_PS_by_Tardier_grey.jpg/220px-Pallas_PS_by_Tardier_grey.jpg, , 1811-09-08, 10745
Guillaume-Antoine Olivier, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Olivier_Guillaume_Antoine_1756-1814.png/220px-Olivier_Guillaume_Antoine_1756-1814.png, 1756-01-19, 1814-10-01, 3101
James A. Peters, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Jim.Peters.jpg/250px-Jim.Peters.jpg, , 1972-12-19, 3701
