name, img, birth, death, length 
Suzan Rose Benedict, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Photo_of_Suzan_Benedict_1922_Smith_College_Yearbook_with_Signature.jpg/220px-Photo_of_Suzan_Benedict_1922_Smith_College_Yearbook_with_Signature.jpg, 1873-11-29, 1942-04-08, 5092
Susan Jane Cunningham, http://upload.wikimedia.org/wikipedia/en/a/a1/Susan_Jane_Cunningham.jpg, 1842-03-23, 1921-01-24, 3572
Annie Easley, http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/NASA_Science_and_Engineering_Newsletter_Annie_Easley.jpg/220px-NASA_Science_and_Engineering_Newsletter_Annie_Easley.jpg, 1933-04-23, 2011-06-25, 7782
Cornelia Fabri, http://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Cornelia_Fabri.jpg/220px-Cornelia_Fabri.jpg, 1869-09-09, 1915-05-24, 4620
Shelly Harvey, http://upload.wikimedia.org/wikipedia/en/thumb/0/05/Shelly_Harvey_at_Rice_University_2016.jpg/250px-Shelly_Harvey_at_Rice_University_2016.jpg, , , 2139
Annalisa Buffa, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Annalisa_buffa.jpg/220px-Annalisa_buffa.jpg, , , 2379
Eva Bayer-Fluckiger, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Eva_Bayer-Fluckiger.jpeg/220px-Eva_Bayer-Fluckiger.jpeg, 1951-06-25, , 1666
Genevieve Grotjan Feinstein, http://upload.wikimedia.org/wikipedia/commons/6/62/Genevieve_Grotjan_Feinstein.jpg, , , 3094
Yvonne Choquet-Bruhat, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Yvonne_Choquet-Bruhat_2.jpeg/220px-Yvonne_Choquet-Bruhat_2.jpeg, 1923-12-29, , 6241
Alexandra Bellow, http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Ionescu_tulcea.jpg/220px-Ionescu_tulcea.jpg, 1935-08-30, , 15883
Jennifer Tour Chayes, http://upload.wikimedia.org/wikipedia/commons/e/ef/Jenniferchayes.jpg, 1956-09-20, , 7750
Alison Etheridge, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Alison-Mary-Etheridge-FRS.jpg/220px-Alison-Mary-Etheridge-FRS.jpg, 1964-04-27, , 7494
