name, img, birth, death, length 
Kristian Birkeland, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Asta_Norregaard_Kristian_Birkeland_1900.jpg/220px-Asta_Norregaard_Kristian_Birkeland_1900.jpg, 1867-12-13, 1917-06-15, 14384
Jacob Bjerknes, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Jacob_bjerknes_headshot.jpg/220px-Jacob_bjerknes_headshot.jpg, 1897-11-02, 1975-07-07, 5532
Harold Jeffreys, http://upload.wikimedia.org/wikipedia/en/7/73/Harold_Jeffreys%2C_Sir.jpg, 1891-04-22, 1989-03-18, 14314
Thomas H. Jordan, http://upload.wikimedia.org/wikipedia/en/c/cd/Thomas_h._Jordan.jpg, 1948-10-08, , 4058
Inge Lehmann, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Inge-lehmann-google-doodle.jpg/220px-Inge-lehmann-google-doodle.jpg, 1888-05-13, 1993-02-21, 11361
Walter M. Elsasser, http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Waltermelsasser.jpg/150px-Waltermelsasser.jpg, , 1991-10-15, 10115
Francis Birch (geophysicist), http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Albert_Francis_Birch00.jpg/250px-Albert_Francis_Birch00.jpg, 1903-08-22, 1992-01-30, 27484
Abel Idowu Olayinka, http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Abel_Idowu_Olayinka.JPG/220px-Abel_Idowu_Olayinka.JPG, , , 8035
Albert P. Crary, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Albert_Paddock_Crary_in_1959.jpg/220px-Albert_Paddock_Crary_in_1959.jpg, 1911-07-25, 1987-10-29, 10395
Johann von Lamont, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Johann_Lamont_Litho.jpg/150px-Johann_Lamont_Litho.jpg, , , 3820
Richard Dixon Oldham, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/RD_Oldham.gif/150px-RD_Oldham.gif, 1858-07-31, , 5787
Felix Andries Vening Meinesz, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Vening_meinesz.jpg/220px-Vening_meinesz.jpg, , 1966-08-10, 9273
Giuseppe Mercalli, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Osservatorio_ximeniano%2C_giuseppe_mercalli_sul_vesuvio.JPG/220px-Osservatorio_ximeniano%2C_giuseppe_mercalli_sul_vesuvio.JPG, , 1914-03-19, 5253
Oscar Edward Meinzer, http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Oscar_Edward_Meinzer_photo.jpeg/220px-Oscar_Edward_Meinzer_photo.jpeg, 1876-11-28, 1948-06-14, 4563
Ahsan Mubarak, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Dr._Ahsan_Mubarak.jpg/270px-Dr._Ahsan_Mubarak.jpg, , , 10598
John Milne, http://upload.wikimedia.org/wikipedia/commons/9/91/John_Milne.jpg, , 1913-07-31, 12128
Harry Fielding Reid, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/HarryFieldingReid_1933.jpg/150px-HarryFieldingReid_1933.jpg, , , 16212
Nicholas Shackleton, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Nicholas_shackleton.jpg/150px-Nicholas_shackleton.jpg, 1937-06-23, 2006-01-24, 9363
Edward Sabine, http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Edward_Sabine_1860s.jpg/220px-Edward_Sabine_1860s.jpg, 1788-10-14, 1883-06-26, 22438
Lawrence Morley, http://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Flag_of_Canada.svg/23px-Flag_of_Canada.svg.png, 1920-02-19, 2013-04-22, 2534
Adam Dziewonski, http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Adam_Dziewo%C5%84ski%2C_Schlosshotel_Linderhof_-_09150004_ff34219_03.jpg/220px-Adam_Dziewo%C5%84ski%2C_Schlosshotel_Linderhof_-_09150004_ff34219_03.jpg, 1936-11-15, 2016-03-01, 4404
Environmental and Engineering Geophysical Society, http://upload.wikimedia.org/wikipedia/en/f/f3/Environmental_and_Engineering_Geophysical_Society_logo.jpg, , , 6644
T. Wayland Vaughan, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Thomas_Wayland_Vaughan.jpg/220px-Thomas_Wayland_Vaughan.jpg, 1870-09-20, 1952-01-16, 9991
W. Jason Morgan, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Morgan%2C_W._Jason.jpg/220px-Morgan%2C_W._Jason.jpg, 1935-10-10, , 4928
Kiyoo Wadati, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Kiyoo_Wadachi_01.jpg/220px-Kiyoo_Wadachi_01.jpg, , 1995-01-06, 2021
Emil Wiechert, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Emil_Wiechert.jpg/220px-Emil_Wiechert.jpg, , 1928-03-19, 5048
Benjamin D. Santer, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bensanter.jpg/220px-Bensanter.jpg, 1955-06-03, , 4933
James Van Allen, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/James_van_Allen.jpg/220px-James_van_Allen.jpg, 1914-09-07, 2006-08-09, 36633
American Meteorological Society, http://upload.wikimedia.org/wikipedia/en/2/22/Seal_of_the_American_Meteorological_Society.jpg, , , 17133
International Union of Geodesy and Geophysics, http://upload.wikimedia.org/wikipedia/en/thumb/8/8e/International_Union_of_Geodesy_and_Geophysics_logo.jpeg/150px-International_Union_of_Geodesy_and_Geophysics_logo.jpeg, 1919, , 11122
International Association of Geomagnetism and Aeronomy, http://upload.wikimedia.org/wikipedia/en/thumb/5/59/International_Association_of_Geomagnetism_and_Aeronomy.jpeg/220px-International_Association_of_Geomagnetism_and_Aeronomy.jpeg, , , 3513
Royal Astronomical Society, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Entrance_to_the_Royal_Astronomical_Society_3.jpg/220px-Entrance_to_the_Royal_Astronomical_Society_3.jpg, 1820-03-10, , 15361
M. King Hubbert, http://upload.wikimedia.org/wikipedia/en/thumb/5/50/Marion_King_Hubbert00.jpg/220px-Marion_King_Hubbert00.jpg, , 1989-10-11, 15118
Edmond Halley, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Edmond_Halley_072.jpg/220px-Edmond_Halley_072.jpg, , , 24473
