name, img, birth, death, length 
Vladimir Fock, http://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Vladimir_Fock_-_photo.jpg/220px-Vladimir_Fock_-_photo.jpg, 1898-12-22, 1974-12-27, 3385
William Alfred Fowler, http://upload.wikimedia.org/wikipedia/en/9/9b/William_Alfred_Fowler.jpg, 1911-08-09, 1995-03-14, 11879
Paul Ehrenfest, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Paul_Ehrenfest.jpg/150px-Paul_Ehrenfest.jpg, 1880-01-18, 1933-09-25, 18513
Ludvig Faddeev, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Ludvig_Faddejev_%28cropped%29.jpg/225px-Ludvig_Faddejev_%28cropped%29.jpg, 1934-03-23, 2017-02-26, 8521
Michael R. Douglas, http://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Michael-Douglas-at-Rutgers.JPG/220px-Michael-Douglas-at-Rutgers.JPG, 1961-11-19, , 3109
F. J. Duarte, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/FJ_DUARTE_%282006%29.jpg/200px-FJ_DUARTE_%282006%29.jpg, , , 18753
Denis Evans, http://upload.wikimedia.org/wikipedia/en/thumb/d/d9/DJEvans.jpeg/150px-DJEvans.jpeg, 1951-04-19, , 6097
William Crookes, http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Sir_William_Crookes_1906.jpg/220px-Sir_William_Crookes_1906.jpg, 1832-06-17, 1919-04-04, 23836
James Alfred Ewing, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/James_A_Ewing_1855-1835.jpg/220px-James_A_Ewing_1855-1835.jpg, 1855-03-27, 1935-01-07, 12442
Claude Cohen-Tannoudji, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Claude_Cohen-Tannoudji.JPG/220px-Claude_Cohen-Tannoudji.JPG, 1933-04-01, , 9405
David Bohm, http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/David_Bohm.jpg/220px-David_Bohm.jpg, 1917-12-20, 1992-10-27, 38404
Arpad Elo, http://upload.wikimedia.org/wikipedia/en/thumb/f/f0/ArpadElo.jpg/220px-ArpadElo.jpg, 1903-08-25, 1992-11-05, 2897
Pavel Cherenkov, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Cerenkov.jpg/220px-Cerenkov.jpg, 1904-07-28, 1990-01-06, 6823
Joseph Fourier, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Fourier2.jpg/250px-Fourier2.jpg, 1768-03-21, 1830-05-16, 16337
Willy Fischler, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Willy_volunteering_at_Children%27s_Hospital.jpg/220px-Willy_volunteering_at_Children%27s_Hospital.jpg, , , 1913
Joseph H. Eberly, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Eberly.jpg/220px-Eberly.jpg, , , 7606
Max Born, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Max_Born.jpg/240px-Max_Born.jpg, 1882-12-11, 1970-01-05, 47105
Leo Esaki, http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Leo_Esaki_1959.jpg/220px-Leo_Esaki_1959.jpg, 1925-03-12, , 7545
Clinton Davisson, http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Clinton_Davisson.jpg/220px-Clinton_Davisson.jpg, 1881-10-22, 1958-02-01, 8591
Gerald B. Cleaver, http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/GeraldCleaver.JPG/240px-GeraldCleaver.JPG, , , 2658
John Tyndall, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/JohnTyndall%281820-1893%29%2CEngraving%2CSIL14-T003-09a_cropped.jpg/220px-JohnTyndall%281820-1893%29%2CEngraving%2CSIL14-T003-09a_cropped.jpg, 1820-08-02, , 69788
Raymond Davis Jr., http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Raymond_Davis%2C_Jr_2001.jpg/220px-Raymond_Davis%2C_Jr_2001.jpg, 1914-10-14, 2006-05-31, 13097
Edward Condon, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Edward_U._Condon.jpg/220px-Edward_U._Condon.jpg, 1902-03-02, 1974-03-26, 24302
James Dewar, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/James_Dewar.jpg/220px-James_Dewar.jpg, 1842-09-20, 1923-03-27, 14359
Henry Cavendish, http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Cavendish_Henry_signature.jpg/200px-Cavendish_Henry_signature.jpg, 1731-10-10, 1810-02-24, 28426
Andre Geim, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Andre_Geim_2010-1.jpg/190px-Andre_Geim_2010-1.jpg, 1958-10-21, , 30915
George Uhlenbeck, http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/UhlenbeckKramersGoudsmit.jpg/300px-UhlenbeckKramersGoudsmit.jpg, 1900-12-06, 1988-10-31, 11999
Sylvester James Gates, http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/JimGates_NatureofExistence.jpg/220px-JimGates_NatureofExistence.jpg, 1950-12-15, , 15174
Alexander Friedmann, http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Aleksandr_Fridman.png/230px-Aleksandr_Fridman.png, 1888-06-16, 1925-09-16, 11519
Roy J. Glauber, http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Roy_Glauber_Dec_10_2005.jpg/200px-Roy_Glauber_Dec_10_2005.jpg, 1925-09-01, , 10451
Georgy Flyorov, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/RUSMARKA-1660.jpg/260px-RUSMARKA-1660.jpg, , , 6134
Pamela L. Gay, http://upload.wikimedia.org/wikipedia/en/thumb/f/f2/PGayPodcast.jpeg/220px-PGayPodcast.jpeg, 1973-12-12, , 15434
Kazimierz Fajans, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Kazimierz_Fajans.jpg/220px-Kazimierz_Fajans.jpg, 1887-05-27, 1975-05-18, 5542
Léon Foucault, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Foucault.jpg/225px-Foucault.jpg, , 1868-02-11, 10424
Franz S. Exner, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Franz-Serafin_Exner.JPG/230px-Franz-Serafin_Exner.JPG, 1849-03-24, 1926-10-15, 4791
Jeff Forshaw, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Jeff_Forshaw.jpg/150px-Jeff_Forshaw.jpg, , , 17982
James Glimm, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/James_Glimm.jpg/220px-James_Glimm.jpg, 1934-03-24, , 16255
William Gilbert (astronomer), http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/William_Gilbert_45626i.jpg/220px-William_Gilbert_45626i.jpg, , 1603-11-30, 17886
Wang Ganchang, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Wang_Ganchang_early_1950s.jpg/220px-Wang_Ganchang_early_1950s.jpg, , 1998-12-10, 22549
