name, img, birth, death, length 
Emma Lucy Braun, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Emma_Lucy_Braun_crop.jpg/220px-Emma_Lucy_Braun_crop.jpg, 1889-04-19, 1971-03-05, 7352
Aziz Ab'Sáber, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/AZIZ-AB-SABER.jpg/220px-AZIZ-AB-SABER.jpg, 1924-10-24, 2012-03-16, 4111
René Dubos, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Ren%C3%A9_Dubos.jpg/220px-Ren%C3%A9_Dubos.jpg, 1901-02-20, 1982-02-20, 16963
C. S. Holling, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Buzz_Holling.jpg/220px-Buzz_Holling.jpg, 1930-12-06, , 6957
Aldo Leopold, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Leopold-Murie.jpg/220px-Leopold-Murie.jpg, 1887-01-11, 1948-04-21, 21030
Douglas J. Futuyma, http://upload.wikimedia.org/wikipedia/commons/b/bd/Futuyma2004.png, 1942-04-24, , 7231
Charles Sutherland Elton, http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, , , 8363
Eugenius Warming, http://upload.wikimedia.org/wikipedia/commons/2/27/Warming%2CEugen-c1900.jpg, 1841-11-03, 1924-04-02, 37158
Robert Whittaker, http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Whittaker-Robert-H-1920-1980.jpg/220px-Whittaker-Robert-H-1920-1980.jpg, 1920-12-27, 1980-10-20, 4852
Sergei Winogradsky, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Sergei_Winogradsky.jpg/220px-Sergei_Winogradsky.jpg, , , 7728
Göte Turesson, http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Turesson_Gote.jpg/220px-Turesson_Gote.jpg, 1892-04-06, 1970-12-30, 4242
Warder Clyde Allee, http://upload.wikimedia.org/wikipedia/en/thumb/8/81/Warder_Clyde_Allee.jpg/90px-Warder_Clyde_Allee.jpg, , 1955-03-19, 12465
Gene Likens, http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Gene_Likens_2015_Mariel_Carr.JPG/220px-Gene_Likens_2015_Mariel_Carr.JPG, 1935-01-06, , 25416
Howard T. Odum, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Odum%2C_Howard_T.jpg/220px-Odum%2C_Howard_T.jpg, 1924-09-01, 2002-09-11, 44260
G. Evelyn Hutchinson, http://upload.wikimedia.org/wikipedia/en/thumb/2/2b/G_Evelyn_Hutchinson_1935.jpg/220px-G_Evelyn_Hutchinson_1935.jpg, 1903-01-30, 1991-05-17, 26260
Richard Levins, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/01-Richard_Levins_at_85th_Birthday_Symposium_Tribute_Dinner_5-23-2015.jpg/220px-01-Richard_Levins_at_85th_Birthday_Symposium_Tribute_Dinner_5-23-2015.jpg, , 2016-01-19, 21438
Jane Lubchenco, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/LubchencoJane-NOAA.jpg/220px-LubchencoJane-NOAA.jpg, 1947-12-04, , 46639
E. O. Wilson, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Plos_wilson.jpg/220px-Plos_wilson.jpg, 1929-06-10, , 54621
