name, img, birth, death, length 
Alan Garen, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, , , 1290
Heinz Fraenkel-Conrat, http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Fraenkel-Conrat.jpg/150px-Fraenkel-Conrat.jpg, 1910-07-29, 1999-04-11, 3284
Leroy Hood, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lee_Hood%2C_MD%2C_PhD%2C_President_and_Co-found_of_the_Institute_for_Systems_Biology.jpg/220px-Lee_Hood%2C_MD%2C_PhD%2C_President_and_Co-found_of_the_Institute_for_Systems_Biology.jpg, 1938-10-10, , 26437
Leonard Herzenberg, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/LenHerzenberg.jpg/220px-LenHerzenberg.jpg, 1931-11-05, 2013-10-27, 4982
G. H. Hardy, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ghhardy%4072.jpg/220px-Ghhardy%4072.jpg, 1877-02-07, 1947-12-01, 21744
W. D. Hamilton, http://upload.wikimedia.org/wikipedia/en/thumb/9/92/W_D_Hamilton.jpg/200px-W_D_Hamilton.jpg, 1936-08-01, 2000-03-07, 20382
Archibald Garrod, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Archibald_Edward_Garrod.jpg/230px-Archibald_Edward_Garrod.jpg, 1857-11-25, 1936-03-28, 8406
Alfred Hershey, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alfred_Hershey.jpg/150px-Alfred_Hershey.jpg, 1908-12-04, 1997-05-22, 11615
Walter Gilbert, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Walter_Gilbert_HD2008_portrait.JPG/220px-Walter_Gilbert_HD2008_portrait.JPG, 1932-03-21, , 13603
Rudolf Jaenisch, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Jaenisch_2003_by_Sam_Ogden.jpg/220px-Jaenisch_2003_by_Sam_Ogden.jpg, 1942-04-22, , 8339
Richard Anthony Jefferson, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Richard_A_Jefferson.jpg/220px-Richard_A_Jefferson.jpg, , , 13418
François Jacob, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Fran%C3%A7ois_Jacob_nobel.jpg/220px-Fran%C3%A7ois_Jacob_nobel.jpg, 1920-06-17, 2013-04-19, 19812
Albert Jacquard, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Albert_Jacquard_-_May_2009.jpg/220px-Albert_Jacquard_-_May_2009.jpg, 1925-12-23, 2013-09-11, 6663
Martin Heisenberg, http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/MartinHeisenberg.jpg/220px-MartinHeisenberg.jpg, 1940-08-07, , 6971
Harvey Itano, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Sacramento%2C_California._Harvey_Akio_Itano%2C_1942_graduate_of_the_University_of_California%2C_who_recei_._._._-_NARA_-_537776.jpg/220px-Sacramento%2C_California._Harvey_Akio_Itano%2C_1942_graduate_of_the_University_of_California%2C_who_recei_._._._-_NARA_-_537776.jpg, 1920-11-03, 2010-05-08, 7250
Avram Hershko, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flickr_-_Government_Press_Office_%28GPO%29_-_Nobel_Laureate_Avram_Hershko.jpg/220px-Flickr_-_Government_Press_Office_%28GPO%29_-_Nobel_Laureate_Avram_Hershko.jpg, 1937-12-31, , 11588
A. W. F. Edwards, http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Anthony_William_Fairbank_Edwards_FRS.jpg/220px-Anthony_William_Fairbank_Edwards_FRS.jpg, 1935-10-04, , 7911
Robert W. Holley, http://upload.wikimedia.org/wikipedia/en/thumb/8/88/Robert_W._Holley_nobel.jpg/220px-Robert_W._Holley_nobel.jpg, 1922-01-28, 1993-02-11, 8246
Carrie Derick, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Carrie_Derick.jpg/220px-Carrie_Derick.jpg, 1862-01-14, 1941-11-10, 5556
Martha Chase, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Martha_Chase.jpg/220px-Martha_Chase.jpg, 1927-11-30, 2003-08-08, 3093
Oswald Avery, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Oswald_T._Avery_portrait_1937.jpg/220px-Oswald_T._Avery_portrait_1937.jpg, 1877-10-21, 1955-02-20, 12995
Julia Bodmer, http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Julia_Gwynaeth_Bodmer.jpg/220px-Julia_Gwynaeth_Bodmer.jpg, 1934-07-31, 2001-01-29, 4481
Elizabeth Blackburn, http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Elizabeth_Blackburn_CHF_Heritage_Day_2012_Rush_001.JPG/180px-Elizabeth_Blackburn_CHF_Heritage_Day_2012_Rush_001.JPG, 1948-11-26, , 20370
Michael Ashburner, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Plos_ashburner.jpg/150px-Plos_ashburner.jpg, 1942-05-23, , 20613
Roscoe Brady, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Roscoe_O._Brady.jpg/220px-Roscoe_O._Brady.jpg, 1923-10-11, 2016-06-14, 8173
Richard Axel, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Professor_Richard_Axel_ForMemRS.jpg/220px-Professor_Richard_Axel_ForMemRS.jpg, 1946-07-02, , 17107
William Bateson, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Bateson2.jpg/220px-Bateson2.jpg, , 1926-02-08, 17420
John Brookfield, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Professor_John_Brookfield.JPG/220px-Professor_John_Brookfield.JPG, 1955-05-30, , 5197
Herbert Boyer, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Herbert_Boyer_HD2005_Winthrop_Sears_Medal.JPG/220px-Herbert_Boyer_HD2005_Winthrop_Sears_Medal.JPG, 1936-07-10, , 16606
Günter Blobel, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Gunter_Blobel_2008_1.JPG/250px-Gunter_Blobel_2008_1.JPG, 1936-05-21, , 15264
Theodor Boveri, http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Theodor_Boveri_high_res-2.jpg/150px-Theodor_Boveri_high_res-2.jpg, , 1915-10-16, 4906
George Beadle, http://upload.wikimedia.org/wikipedia/en/2/24/George_Wells_Beadle.jpg, 1903-10-22, 1989-06-09, 14377
Erwin Chargaff, http://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Erwin_Chargaff.jpg/220px-Erwin_Chargaff.jpg, 1905-08-11, 2002-06-20, 22062
